"Name","Screen name","Party","Constituency","Followers","New followers in last 24 hours"
"Zarah Sultana","@zarahsultana","Labour","Coventry South",323889,-28
"Yvonne Fovargue ","@Y_FovargueMP","Labour","Makerfield",14617,-1
"Yvette Cooper ","@YvetteCooperMP","Labour","Normanton, Pontefract and Castleford",434090,18
"Yasmin Qureshi ","@YasminQureshiMP","Labour","Bolton South East",25923,2
"William Wragg ","@William_Wragg","Conservative","Hazel Grove",21905,2
"William Cash ","@BillCashMP","Conservative","Stone",22162,0
"Will Quince ","@willquince","Conservative","Colchester",24076,-3
"Wes Streeting ","@wesstreeting","Labour","Ilford North",185880,17
"Wera Hobhouse","@Wera_Hobhouse","Liberal Democrat","Bath",26087,8
"Wendy Morton ","@morton_wendy","Conservative","Aldridge-Brownhills",20673,2
"Wendy Chamberlain","@wendychambLD","Liberal Democrat","North East Fife",8872,1
"Wayne David ","@WayneDavid_MP","Labour","Caerphilly",16039,0
"Virendra Sharma ","@VirendraSharma","Labour","Ealing, Southall",21027,4
"Victoria Prentis ","@VictoriaPrentis","Conservative","Banbury",16546,-2
"Vicky Foxcroft ","@vickyfoxcroft","Labour","Lewisham, Deptford",24177,1
"Vicky Ford","@vickyford","Conservative","Chelmsford",48339,-3
"Valerie Vaz ","@Valerie_VazMP","Labour","Walsall South",8790,2
"Tulip Siddiq ","@TulipSiddiq","Labour","Hampstead and Kilburn",200989,1
"Tracy Brabin ","@TracyBrabin","Labour","Batley and Spen",69022,6
"Tracey Crouch ","@tracey_crouch","Conservative","Chatham and Aylesford",41850,-8
"Tony Lloyd","@tony4rochdale","Labour","Rochdale",10113,0
"Tonia Antoniazzi","@ToniaAntoniazzi","Labour","Gower",19639,20
"Tommy Sheppard ","@TommySheppard","Scottish National Party","Edinburgh East",44079,10
"Tom Tugendhat ","@TomTugendhat","Conservative","Tonbridge and Malling",138528,0
"Tom Randall","@Tom_Randall","Conservative","Gedling",5965,4
"Tom Pursglove ","@VotePursglove","Conservative","Corby",17923,2
"Tom Hunt","@tomhunt1988","Conservative","Ipswich",14635,-1
"Toby Perkins ","@tobyperkinsmp","Labour","Chesterfield",31047,-1
"Tobias Ellwood","@Tobias_Ellwood","Independent","Bournemouth East",93105,4
"Tim Loughton ","@timloughton","Conservative","East Worthing and Shoreham",25012,5
"Tim Farron","@timfarron","Liberal Democrat","Westmorland and Lonsdale",291051,-10
"Theresa May ","@theresa_may","Conservative","Maidenhead",1012895,-109
"Theo Clarke","@theodoraclarke","Conservative","Stafford",9840,3
"Thangam Debbonaire ","@ThangamMP","Labour","Bristol West",38370,10
"Tanmanjit Singh Dhesi","@TanDhesi","Labour","Slough",102857,-3
"Taiwo Owatemi","@TaiwoOwatemi","Labour","Coventry North West",22110,1
"Tahir Ali","@TahirAliMP","Labour","Birmingham, Hall Green",4107,-2
"Suzanne Webb","@Q66Suzi","Conservative","Stourbridge",6400,0
"Suella Fernandes ","@SuellaBraverman","Conservative","Fareham",130678,10
"Stuart Paul Anderson","@_AndersonStuart","Conservative","Wolverhampton South West",8861,1
"Stuart C. McDonald ","@Stuart_McDonald","Scottish National Party","Cumbernauld, Kilsyth and Kirkintilloch East",14158,1
"Stuart Andrew","@StuartAndrew","Conservative","Pudsey",23159,11
"Stewart Malcolm McDonald ","@StewartMcDonald","Scottish National Party","Glasgow South",39497,9
"Stewart Hosie ","@StewartHosieSNP","Scottish National Party","Dundee East",29141,2
"Steven Bonnar","@StevenBonnarSNP","Scottish National Party","Coatbridge, Chryston and Bellshill",4402,0
"Steven Baker ","@SteveBakerHW","Conservative","Wycombe",159868,-11
"Steve Reed ","@SteveReedMP","Labour","Croydon North",40629,12
"Steve McCabe ","@steve_mccabe","Labour","Birmingham, Selly Oak",19640,-1
"Steve Double ","@stevedouble","Conservative","St Austell and Newquay",15692,2
"Steve Brine","@BrineMP","Conservative","Winchester",13617,6
"Stephen Timms ","@stephenctimms","Labour","East Ham",20245,3
"Stephen Morgan","@StephenMorganMP","Labour","Portsmouth South",18685,0
"Stephen Metcalfe ","@Metcalfe_SBET","Conservative","South Basildon and East Thurrock",9311,-1
"Stephen McPartland ","@SMcPartland","Conservative","Stevenage",17326,-2
"Stephen Kinnock ","@SKinnock","Labour","Aberavon",39371,5
"Stephen Hammond","@S_Hammond","Conservative","Wimbledon",20922,-3
"Stephen Flynn","@StephenFlynnSNP","Scottish National Party","Aberdeen South",28980,67
"Stephen Farry","@StephenFarryMP","Alliance Party of Northern Ireland","North Down",19912,1
"Stephen Doughty ","@SDoughtyMP","Labour","Cardiff South and Penarth",37167,-5
"Stephen Crabb ","@SCrabbPembs","Conservative","Preseli Pembrokeshire",22609,1
"Stephen Barclay ","@SteveBarclay","Conservative","North East Cambridgeshire",57326,18
"Stephanie Peacock","@Steph_Peacock","Labour","Barnsley East",12390,0
"Stella Creasy ","@stellacreasy","Labour","Walthamstow",166494,79
"Siobhan Baillie","@Siobhan_Baillie","Conservative","Stroud",14600,1
"Siobhain McDonagh","@Siobhain_Mc","Labour","Mitcham and Morden",27611,3
"Simon Lightwood","@simonlightwood","Labour","Wakefield",13490,13
"Simon Jupp","@simonjamesjupp","Conservative","East Devon",9138,0
"Simon Hoare ","@Simon4NDorset","Conservative","North Dorset",24229,11
"Simon Hart ","@Simonhartmp","Conservative","Carmarthen West and South Pembrokeshire",12373,-2
"Simon Fell","@simonfell","Conservative","Barrow and Furness",6063,6
"Simon Clarke","@SimonClarkeMP","Conservative","Middlesbrough South and East Cleveland",33042,29
"Simon Baynes","@baynes_simon","Conservative","Clwyd South",5948,2
"Sheryll Murray ","@sheryllmurray","Conservative","South East Cornwall",19893,3
"Shaun Bailey","@Shaun4WBW","Conservative","West Bromwich West",6106,-1
"Sharon Hodgson ","@SharonHodgsonMP","Labour","Washington and Sunderland West",35004,3
"Shailesh Vara","@ShaileshVara","Conservative","North West Cambridgeshire",6767,0
"Shabana Mahmood ","@ShabanaMahmood","Labour","Birmingham, Ladywood",27493,1
"Selaine Saxby","@SelaineSaxby","Conservative","North Devon",6482,4
"Seema Malhotra ","@SeemaMalhotra1","Labour","Feltham and Heston",26830,4
"Scott Mann ","@scottmann4NC","Conservative","North Cornwall",10587,0
"Scott Lloyd Benton","@ScottBentonMP","Conservative","Blackpool South",11905,-1
"Sarah Owen","@SarahOwen_","Labour","Luton North",25834,9
"Sarah Olney","@sarahjolney1","Liberal Democrat","Richmond Park",19706,2
"Sarah Jones","@LabourSJ","Labour","Croydon Central",25209,-1
"Sarah Green","@SarahGreenLD","Liberal Democrat","Chesham and Amersham",11652,1
"Sarah Dines","@Dines4Dales","Conservative","Derbyshire Dales",3694,3
"Sarah Champion ","@SarahChampionMP","Labour","Rotherham",51654,4
"Sara Britcliffe","@SarBritcliffeMP","Conservative","Hyndburn",11788,-5
"Saqib Bhatti","@bhatti_saqib","Conservative","Meriden",9553,1
"Sammy Wilson ","@eastantrimmp","Democratic Unionist Party","East Antrim",24777,-5
"Samantha Dixon","@SamanthaDixonMP","Labour","City of Chester",7408,10
"Sam Tarry","@SamTarry","Labour","Ilford South",37542,-8
"Sally-Ann Hart","@SallyAnn1066","Conservative","Hastings and Rye",6848,-2
"Sajid Javid ","@sajidjavid","Conservative","Bromsgrove",304789,-11
"Ruth Jones","@RuthNewportWest","Labour","Newport West",8326,2
"Ruth Edwards","@RuthEdwardsMP","Conservative","Rushcliffe",4431,3
"Ruth Cadbury ","@RuthCadbury","Labour","Brentford and Isleworth",24533,3
"Rushanara Ali ","@rushanaraali","Labour","Bethnal Green and Bow",50705,19
"Royston Smith ","@Royston_Smith","Conservative","Southampton, Itchen",8706,5
"Rosie Duffield","@RosieDuffield1","Labour","Canterbury",68770,-6
"Rosie Cooper ","@rosie4westlancs","Labour","West Lancashire",15308,2
"Ronnie Cowan ","@ronniecowan","Scottish National Party","Inverclyde",13839,2
"Roger Gale","@SirRogerGale","Conservative","North Thanet",14810,-1
"Robin Walker ","@WalkerWorcester","Conservative","Worcester",17340,1
"Robin John Millar","@RobinMillarMP","Conservative","Aberconwy",4714,-3
"Robert Syms ","@RobertSyms","Conservative","Poole",14306,4
"Robert Neill ","@neill_bob","Conservative","Bromley and Chislehurst",20414,6
"Robert Largan","@robertlargan","Conservative","High Peak",8282,-1
"Robert Jenrick ","@RobertJenrick","Conservative","Newark",57911,-4
"Robert Halfon ","@halfon4harlowMP","Conservative","Harlow",39609,0
"Robert Courts ","@robertcourts","Conservative","Witney",11084,-3
"Robert Buckland ","@RobertBuckland","Conservative","South Swindon",32094,-1
